dzrhnews,2017-09-09 7:52,0,0,Gutoc: Tuluy-tuloy ang inter-agency,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
GmailHb,2017-09-09 7:41,0,0,Tentara Berjilbab Filipina Bantu Warga Korban Kekejaman ISIS di Marawi http://,"(['Padang ', 'Indonesia'], Location((-0.9524785, 100.3632419, 0.0)))",,,906301618190254081,https://twitter.com/GmailHb/status/906301618190254081,id
mrlbrndth,2017-09-09 7:35,0,2,PAGDARO SA KALINAW: Dureza’s Betrayal and Duterte’s Hypocrisy in Marawi . 201 7/09/pagdaro-sa-kalinaw-durezas-betrayal-and-dutertes-hypocrisy-in-marawi/ … via,"(['Pasig', ' Philippines'], Location((14.5605151, 121.0767129, 0.0)))",@mindanews2010,,906299999956254721,https://twitter.com/mrlbrndth/status/906299999956254721,ceb
Marawi_44,2017-09-09 7:35,0,0,أذكار الأذان:يدعو لنفسه بين الأذان والإقامة فإن الدعاء http:// du3a.org /,,,,906299900580769792,https://twitter.com/Marawi_44/status/906299900580769792,ar
dutertefied,2017-09-09 7:15,0,0,madaming cobra at sawa sa gensan. manghuli dun at pakawalan sa mga drainage sa marawi kung nasaan yung mga maute nagtatago.,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,906295054129520640,https://twitter.com/dutertefied/status/906295054129520640,fil
onereyna_me,2017-09-09 7:01,0,0,Getting ready for - Takbo Para Sa Marawi … .,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,#MSAP #Ascend #FunRun #running #fitness #fitnessgoal,906291332683108352,https://twitter.com/onereyna_me/status/906291332683108352,fil
rfpmalayao,2017-09-09 6:55,0,0,PAGDARO SA KALINAW: Dureza’s Betrayal and Duterte’s Hypocrisy in Marawi | MindaNews http://,,,,906289823337504769,https://twitter.com/rfpmalayao/status/906289823337504769,ceb
aplariza,2017-09-09 6:40,0,0,,"(['Ozamis City', ' Northern Mindanao'], Location((14.4333816, 121.0329839, 0.0)))",,#Manila #Palawan #Cebu #Davao #CDO #Tagaytay #Batangas #Baguio #Iligan #Marawi #Siargao #Bohol #Boracay #Dakak #ootd #ootdph #selfie #Church,906286103623221249,https://twitter.com/aplariza/status/906286103623221249,#VALUE!
camillegeo,2017-09-09 6:38,0,0,MMK NANAMAN SIGURADUHIN NYO TAMA ANG KWENTO SA MARAWI Baka scripted naman yan,"(['ksa'], Location((4.13617025, 9.55242794813, 0.0)))",,,906285614554726400,https://twitter.com/camillegeo/status/906285614554726400,fil
alsanchez1766,2017-09-09 6:33,0,0,I liked a video http:// KAPAYAPAAN SA MARAWI (ORIGINAL COMPOSITION) HD,,@YouTube,,906284294582226945,https://twitter.com/alsanchez1766/status/906284294582226945,fil
Marawi_44,2017-09-09 6:10,0,0,سبحان الله وبحمده سبحان الله العظيم http:// du3a.org /,,,,906278659455102976,https://twitter.com/Marawi_44/status/906278659455102976,ar
